City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
155,Kavieng,PG,80.53,light rain,-2.5744,150.7967,Nusa Island Retreat
156,Bandarbeyla,SO,77.92,broken clouds,9.4942,50.8122,JABIR HOTEL
159,San Lorenzo,PY,83.34,broken clouds,-25.3333,-57.5333,Hotel del Sur
160,Vierzon,FR,76.55,overcast clouds,47.2101,2.0625,Arche Hôtel
162,Kisangani,CD,82.51,overcast clouds,0.5167,25.2,Grand Ramela Hotel
165,Fare,PF,78.31,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
167,Portland,US,80.2,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
169,West Lafayette,US,87.06,clear sky,40.4259,-86.9081,Hilton Garden Inn West Lafayette Wabash Landing
170,Ribeira Grande,PT,79.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
171,Bom Jardim,BR,80.94,scattered clouds,-7.7958,-35.5872,Pousada do Posto Jose Breno
174,Hefei,CN,78.82,light rain,31.8639,117.2808,Jinhuan Hotel
177,Myingyan,MM,78.49,overcast clouds,21.4667,95.3833,Zaw ဆိုင်ကယ်ရောင်းဝယ်ရေး
179,Majene,ID,77.14,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
182,Bethel,US,89.4,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
185,Nabire,ID,75.34,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
186,Tiguib,PH,79.57,overcast clouds,9.8008,123.1352,Erojo’s Residence
187,Linhares,BR,79.54,broken clouds,-19.3911,-40.0722,Hotel Conceição
190,Hauterive,FR,75.96,scattered clouds,46.0901,3.4459,Aletti Palace Hotel
192,Aksu,CN,89.4,clear sky,41.1231,80.2644,Pudong Holiday Hotel
193,Palauig,PH,81.7,overcast clouds,15.435,119.9045,Myhousebythesea
194,Caucaia,BR,87.75,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
196,Ixtapa,MX,88.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
197,Devils Lake,US,84.31,clear sky,48.1128,-98.8651,"Holiday Inn Express Devils Lake, an IHG Hotel"
202,Kinablangan,PH,80.31,overcast clouds,7.6947,126.5503,Danny Moreno Property
204,Florianopolis,BR,81.25,clear sky,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
207,Sao Filipe,CV,75.78,broken clouds,14.8961,-24.4956,Hotel Xaguate
210,Nicoya,CR,87.35,overcast clouds,10.1483,-85.452,Guayacan Real
211,Taos,US,79.56,few clouds,36.4072,-105.5731,El Monte Sagrado
212,Caborca,MX,82.49,scattered clouds,30.5838,-111.101,Hotel Los Lagos
217,Kahului,US,79.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
