City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,Esperance,AU,2021-07-24 00:21:28,-33.8667,121.9,52.38,76,78,22.53
129,Cairns,AU,2021-07-24 00:19:45,-16.9167,145.7667,89.94,74,20,2.3
130,Khatanga,RU,2021-07-24 00:21:29,71.9667,102.5,55.29,66,40,5.73
131,Mersing,MY,2021-07-24 00:17:12,2.4312,103.8405,75.11,94,40,4.61
132,Lompoc,US,2021-07-24 00:18:16,34.6391,-120.4579,87.13,72,20,14.97
133,Pasighat,IN,2021-07-24 00:21:30,28.0667,95.3333,78.28,97,81,2.46
134,Dir,PK,2021-07-24 00:21:31,35.2058,71.8756,71.1,63,1,4.21
135,Lebu,CL,2021-07-24 00:21:31,-37.6167,-73.65,49.42,83,100,13.06
136,Mitsamiouli,KM,2021-07-24 00:21:32,-11.3847,43.2844,76.78,71,16,17.49
137,Aban,RU,2021-07-24 00:21:32,56.67,96.06,64.63,70,0,9.17
138,Maniitsoq,GL,2021-07-24 00:21:33,65.4167,-52.9,41.4,94,100,25.7
139,Juybar,IR,2021-07-24 00:21:34,36.6412,52.9124,80.58,69,0,5.01
140,Mareeba,AU,2021-07-24 00:21:34,-17.0,145.4333,85.32,65,33,3.27
141,Galle,LK,2021-07-24 00:21:35,6.0367,80.217,78.46,84,85,10.74
142,Diego De Almagro,CL,2021-07-24 00:21:35,-26.3667,-70.05,60.62,45,88,3.31
143,Pontianak,ID,2021-07-24 00:21:36,-0.0333,109.3333,78.78,94,20,3.44
144,Burgeo,CA,2021-07-24 00:21:36,47.6167,-57.6152,55.8,88,77,12.68
145,Nichinan,JP,2021-07-24 00:21:37,31.6,131.3667,82.08,87,100,15.21
146,Bandarbeyla,SO,2021-07-24 00:21:37,9.4942,50.8122,77.95,71,15,32.01
147,Torbay,CA,2021-07-24 00:17:10,47.6666,-52.7314,58.75,98,90,5.75
148,Mishelevka,RU,2021-07-24 00:21:38,52.8575,103.1719,62.24,75,55,0.49
149,Kodiak,US,2021-07-24 00:17:13,57.79,-152.4072,54.91,88,90,8.05
150,Haines Junction,CA,2021-07-24 00:20:11,60.7522,-137.5108,67.95,40,46,11.5
151,San Quintin,MX,2021-07-24 00:18:34,30.4833,-115.95,73.92,71,49,10.87
152,Shimoda,JP,2021-07-24 00:21:42,34.6667,138.95,82.76,71,1,4.14
153,Georgetown,MY,2021-07-24 00:19:15,5.4112,100.3354,82.89,88,20,1.14
154,Porto Novo,BJ,2021-07-24 00:21:43,6.4965,2.6036,75.27,79,15,7.43
155,Sao Francisco,BR,2021-07-24 00:21:44,-15.9486,-44.8644,68.05,41,98,7.11
156,Provideniya,RU,2021-07-24 00:21:45,64.3833,-173.3,54.9,62,71,7.96
157,Victoria,HK,2021-07-24 00:18:23,22.2855,114.1577,86.97,91,62,1.99
158,Pakxan,LA,2021-07-24 00:21:46,18.3778,103.6601,74.05,98,100,11.5
159,Vengurla,IN,2021-07-24 00:21:46,15.8667,73.6333,78.6,86,100,15.84
160,Rognan,NO,2021-07-24 00:19:05,67.0953,15.3878,51.94,94,100,2.24
161,Wapi Pathum,TH,2021-07-24 00:21:47,15.8452,103.3768,80.49,94,100,18.41
162,Kysyl-Syr,RU,2021-07-24 00:19:23,63.8986,122.7617,71.46,52,98,7.52
163,Bredasdorp,ZA,2021-07-24 00:21:48,-34.5322,20.0403,47.52,76,0,8.05
164,Marawi,PH,2021-07-24 00:21:49,7.9986,124.2928,79.65,65,66,7.14
165,Tres Coracoes,BR,2021-07-24 00:21:14,-21.6969,-45.2533,54.93,59,0,6.38
166,Pisco,PE,2021-07-24 00:21:49,-13.7,-76.2167,62.65,77,75,17.27
167,Altay,CN,2021-07-24 00:21:50,47.8667,88.1167,71.82,55,35,2.91
168,Kyaukse,MM,2021-07-24 00:21:51,21.6,96.1333,78.8,94,75,5.75
169,Sao Filipe,CV,2021-07-24 00:18:24,14.8961,-24.4956,73.74,76,29,8.46
