City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Kuching,MY,2021-07-26 17:45:51,1.55,110.3333,75.42,94,20,2.3,few clouds
120,Liwale,TZ,2021-07-26 17:45:52,-9.7667,37.9333,71.15,41,98,8.23,overcast clouds
121,Lagoa,PT,2021-07-26 17:45:52,39.05,-27.9833,70.86,84,65,11.07,broken clouds
122,Dhidhdhoo,MV,2021-07-26 17:45:53,6.8833,73.1,81.97,77,97,10.65,overcast clouds
123,Ayolas,PY,2021-07-26 17:45:53,-27.4,-56.9,72.68,72,100,1.34,heavy intensity rain
124,Vila,PT,2021-07-26 17:45:54,42.0304,-8.1588,73.74,56,0,6.31,clear sky
125,Cayenne,GF,2021-07-26 17:45:54,4.9333,-52.3333,87.84,80,75,5.99,broken clouds
126,Tres Arroyos,AR,2021-07-26 17:43:29,-38.3739,-60.2798,48.45,37,3,20.87,clear sky
127,Jamestown,US,2021-07-26 17:41:29,42.097,-79.2353,83.52,48,75,3.0,broken clouds
128,Hit,IQ,2021-07-26 17:45:55,33.6416,42.8251,106.54,14,0,8.79,clear sky
129,Dikson,RU,2021-07-26 17:45:25,73.5069,80.5464,41.56,91,92,4.61,overcast clouds
130,Bafoulabe,ML,2021-07-26 17:46:00,13.8065,-10.8321,93.16,48,70,5.79,broken clouds
131,Matay,EG,2021-07-26 17:46:01,28.419,30.7792,90.68,19,0,7.45,clear sky
132,Ancud,CL,2021-07-26 17:46:02,-41.8697,-73.8203,47.73,61,40,7.63,scattered clouds
133,Cabo San Lucas,MX,2021-07-26 17:45:12,22.8909,-109.9124,95.61,66,1,1.99,clear sky
134,Clyde River,CA,2021-07-26 17:41:10,70.4692,-68.5914,37.63,93,90,5.75,overcast clouds
135,Benjamin Constant,BR,2021-07-26 17:46:08,-4.3831,-70.0311,86.13,74,75,4.61,broken clouds
136,Tecoanapa,MX,2021-07-26 17:46:12,16.5167,-98.75,87.53,66,51,7.76,broken clouds
137,Upernavik,GL,2021-07-26 17:46:12,72.7868,-56.1549,45.81,63,100,4.59,overcast clouds
138,Aykhal,RU,2021-07-26 17:46:13,66.0,111.5,67.44,69,18,2.84,few clouds
139,Revelstoke,CA,2021-07-26 17:46:17,50.9832,-118.2023,71.62,53,90,0.0,haze
140,Borovoy,RU,2021-07-26 17:46:18,55.4333,86.0833,67.28,88,75,13.42,broken clouds
141,Port Blair,IN,2021-07-26 17:46:18,11.6667,92.75,82.08,86,100,20.6,overcast clouds
142,Bentiu,SS,2021-07-26 17:46:18,9.2333,29.8333,69.87,98,100,4.52,overcast clouds
143,Sorland,NO,2021-07-26 17:46:19,67.667,12.6934,55.47,90,22,14.63,few clouds
144,Nefteyugansk,RU,2021-07-26 17:46:20,61.0998,72.6035,55.65,64,100,7.49,overcast clouds
145,Ishigaki,JP,2021-07-26 17:46:20,24.3448,124.1572,83.21,87,99,4.83,overcast clouds
146,Libertador General San Martin,AR,2021-07-26 17:46:21,-23.8064,-64.7876,71.94,29,0,6.91,clear sky
147,Khani,GE,2021-07-26 17:46:21,41.9563,42.9566,65.77,96,56,2.19,broken clouds
148,Port Alfred,ZA,2021-07-26 17:46:22,-33.5906,26.891,65.55,36,100,10.8,overcast clouds
149,Nikolskoye,RU,2021-07-26 17:45:30,59.7035,30.7861,76.89,67,25,3.85,scattered clouds
150,Nishihara,JP,2021-07-26 17:45:54,26.1842,127.7558,81.68,95,90,11.5,overcast clouds
151,Cherskiy,RU,2021-07-26 17:46:23,68.75,161.3,39.51,74,1,8.61,clear sky
152,Anori,BR,2021-07-26 17:46:24,-3.7728,-61.6442,93.07,38,71,5.32,broken clouds
153,Ittiri,IT,2021-07-26 17:46:25,40.5929,8.5684,81.5,53,98,2.68,overcast clouds
154,Nelson Bay,AU,2021-07-26 17:46:26,-32.7167,152.15,54.95,90,24,13.35,few clouds
155,Kavieng,PG,2021-07-26 17:46:27,-2.5744,150.7967,80.53,77,9,5.57,light rain
156,Bandarbeyla,SO,2021-07-26 17:46:27,9.4942,50.8122,77.92,77,53,28.72,broken clouds
157,Urucara,BR,2021-07-26 17:46:28,-2.5364,-57.76,95.99,30,83,5.19,broken clouds
158,Pimentel,PE,2021-07-26 17:46:30,-6.8367,-79.9342,71.89,77,75,4.0,broken clouds
159,San Lorenzo,PY,2021-07-26 17:46:31,-25.3333,-57.5333,83.34,51,75,4.61,broken clouds
160,Vierzon,FR,2021-07-26 17:46:32,47.2101,2.0625,76.55,65,93,5.32,overcast clouds
161,Lebu,CL,2021-07-26 17:46:32,-37.6167,-73.65,49.68,64,11,16.89,few clouds
162,Kisangani,CD,2021-07-26 17:46:33,0.5167,25.2,82.51,43,89,2.66,overcast clouds
163,Viedma,AR,2021-07-26 17:46:33,-40.8135,-62.9967,47.43,41,45,26.75,scattered clouds
164,Stornoway,GB,2021-07-26 17:46:59,58.2093,-6.3865,62.92,88,75,5.75,broken clouds
165,Fare,PF,2021-07-26 17:47:00,-16.7,-151.0167,78.31,74,40,12.17,scattered clouds
166,Qeshm,IR,2021-07-26 17:47:04,26.9581,56.2719,96.67,70,1,9.19,clear sky
167,Portland,US,2021-07-26 17:44:07,45.5234,-122.6762,80.2,63,40,1.01,scattered clouds
168,Zhezkazgan,KZ,2021-07-26 17:47:09,47.8043,67.7144,74.07,26,5,15.08,clear sky
169,West Lafayette,US,2021-07-26 17:42:52,40.4259,-86.9081,87.06,45,1,4.61,clear sky
170,Ribeira Grande,PT,2021-07-26 17:45:31,38.5167,-28.7,79.2,61,20,16.11,few clouds
171,Bom Jardim,BR,2021-07-26 17:47:10,-7.7958,-35.5872,80.94,48,25,15.77,scattered clouds
172,Charters Towers,AU,2021-07-26 17:47:16,-20.1,146.2667,53.82,88,55,7.96,broken clouds
173,Balad,IQ,2021-07-26 17:47:16,34.0164,44.1453,105.85,13,0,10.96,clear sky
